City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,Vogošća,43.9019,18.3481,32.88,100,100,5.01,BA,1732996139
180,Gunjur,13.2019,-16.7339,81.64,52,0,11.36,GM,1732996140
181,Luwuk,-0.9516,122.7875,73.9,86,77,4.09,ID,1732996141
182,Yuzhno-Kurilsk,44.0306,145.8556,36.3,63,51,15.84,RU,1732996142
183,San Antonio de Palé,-1.4014,5.6325,79.3,85,100,10.54,GQ,1732996144
184,Dalandzadgad,43.5708,104.425,26.49,40,52,23.33,MN,1732996145
185,Pangai,-19.8,-174.35,76.96,90,100,18.9,TO,1732996146
186,New Norfolk,-42.7826,147.0587,60.71,100,100,1.63,AU,1732996147
187,San Felipe,10.3399,-68.7425,82.99,69,100,4.29,VE,1732996148
188,Gadzhiyevo,69.2551,33.3362,19.17,82,81,22.08,RU,1732996149
189,Formosa,-26.1775,-58.1781,93.18,62,100,8.05,AR,1732996150
190,Kolyshley,52.7005,44.5367,21.99,100,99,4.76,RU,1732996152
191,Al Khārijah,25.4514,30.5464,60.03,62,0,7.49,EG,1732996153
192,Kuruman,-27.4524,23.4325,73.74,11,0,6.44,ZA,1732996154
193,Laojunmiao,39.8333,97.7333,23.74,31,18,10.2,CN,1732996155
194,Mahina,-17.5065,-149.489,85.77,74,20,11.5,PF,1732996156
195,Naracoorte,-36.9579,140.7383,58.89,97,100,10.42,AU,1732996157
196,Yueyang,29.3333,113.0919,52.66,57,0,5.77,CN,1732996158
197,Fortuna,40.5982,-124.1573,49.12,71,0,3.44,US,1732996111
198,Karratha,-20.7377,116.8463,78.85,73,7,12.17,AU,1732996161
199,Panabá,21.2833,-88.2667,83.34,57,4,7.0,MX,1732996162
200,Lincoln City,44.9582,-124.0179,45.5,84,59,8.01,US,1732996163
201,Sitia,35.2,26.0986,62.51,80,41,14.47,GR,1732996164
202,Trondheim,63.4305,10.3951,38.91,96,100,1.99,NO,1732996063
203,Nabire,-3.3667,135.4833,75.9,92,94,2.08,ID,1732996168
204,Tak,16.5833,98.8333,60.78,84,79,2.91,TH,1732996169
205,Antsiranana,-12.2787,49.2917,77.43,82,99,0.74,MG,1732996170
206,Harper,4.375,-7.7169,79.61,83,31,8.28,LR,1732996171
207,Saint-Philippe,-21.3585,55.7679,75.25,84,45,8.72,RE,1732996172
208,Tura,25.5198,90.2201,60.67,76,100,4.14,IN,1732996173
209,Puerto Francisco de Orellana,-0.4667,-76.9667,89.65,62,40,4.16,EC,1732996175
210,Sinabang,2.4803,96.3801,78.62,83,100,4.12,ID,1732996176
211,San Ignacio,17.1561,-89.0714,86.14,58,20,4.61,BZ,1732996177
212,Sauðarkrokur,65.7461,-19.6394,23.94,82,86,27.67,IS,1732996178
213,Kandahar,31.0,65.75,56.84,41,28,6.55,AF,1732996179
214,Huayin,34.5675,110.0921,45.48,37,0,3.8,CN,1732996180
215,Nantucket,41.2835,-70.0995,42.91,45,0,18.41,US,1732996181
216,Gewanē,10.1664,40.6453,79.56,36,91,9.01,ET,1732996183
217,East Ballina,-28.8667,153.5833,72.25,94,100,11.95,AU,1732996184
218,Longyearbyen,78.2186,15.6401,15.64,57,40,11.5,SJ,1732996186
219,Shitanjing,39.2342,106.3439,31.96,36,0,21.09,CN,1732996187
220,Tshabong,-26.05,22.45,81.0,8,0,5.12,BW,1732996188
221,Konark,19.9,86.1167,70.36,80,100,8.7,IN,1732996189
222,Mitsamiouli,-11.3847,43.2844,81.23,77,99,8.95,KM,1732996191
223,Madīnat ash Shamāl,26.1293,51.2009,69.33,57,0,21.47,QA,1732996192
224,Naze,28.3667,129.4833,56.32,71,36,4.9,JP,1732996193
225,Mbala,-8.8402,31.3659,62.62,90,100,9.01,ZM,1732996194
226,Molchanovo,57.5817,83.7692,8.6,98,70,4.09,RU,1732996195
227,Gisborne,-38.6533,178.0042,62.2,69,1,2.68,NZ,1732996196
228,Volosovo,59.4333,29.4833,40.66,86,100,15.48,RU,1732996198
229,Grand-Popo,6.2804,1.8225,81.73,57,94,7.09,BJ,1732996199
230,Dakhla,23.6848,-15.958,75.22,53,100,9.22,EH,1732996200
231,Estreito,-5.7833,-43.25,100.33,21,77,2.48,BR,1732996201
232,Valdivia,-39.8142,-73.2459,71.69,41,0,9.26,CL,1732996094
233,Farragut,35.8845,-84.1535,42.49,40,0,4.0,US,1732996203
234,Salinópolis,-0.6136,-47.3561,83.73,69,1,10.13,BR,1732996204
235,Rurrenabaque,-14.4413,-67.5278,93.09,55,40,11.5,BO,1732996206
236,Kapoeta,4.7717,33.5903,85.6,36,43,2.35,SS,1732996207
237,Egilsstadir,65.2653,-14.3948,28.31,93,100,29.93,IS,1732996208
238,Huizhou,23.0833,114.4,54.97,74,44,2.15,CN,1732996209
239,Cecerleg,47.475,101.4542,14.47,82,87,5.17,MN,1732996210
240,Stalowa Wola,50.5829,22.0533,39.85,74,100,1.99,PL,1732996066
241,Road Town,18.4167,-64.6167,84.24,70,40,10.36,VG,1732996213
242,Atherton,53.5237,-2.4935,55.02,92,100,3.0,GB,1732996214
243,Kununurra,-15.7667,128.7333,80.58,94,64,4.61,AU,1732996215
244,Mount Gambier,-37.8333,140.7667,58.39,99,100,5.19,AU,1732996216
245,San Andrés,12.5847,-81.7006,87.82,74,40,9.22,CO,1732996081
246,Khandyga,62.6667,135.6,-3.93,100,100,1.72,RU,1732996219
247,Keflavik,64.0049,-22.5624,27.03,74,75,27.63,IS,1732996220
248,Ubari,26.5921,12.7805,57.96,35,6,5.08,LY,1732996221
249,Mahibadhoo,3.7833,72.9667,81.91,75,100,18.75,MV,1732996223
250,Muisne,0.6,-80.0333,76.78,77,83,11.41,EC,1732996224
251,Las Vegas,36.175,-115.1372,58.73,24,0,5.75,US,1732996136
252,Rumbek,6.802,29.6912,78.94,33,95,4.25,SS,1732996226
